month,ozone,dust
201601,0.013,52
201602,0.016,48
201603,0.026,66
201604,0.031,76
201605,0.036,59
201606,0.033,45
201607,0.022,32
201608,0.024,34
201609,0.019,37
201610,0.013,38
201611,0.01,54
201612,0.007,52
201701,0.013,58
201702,0.016,50
201703,0.024,64
201704,0.032,51
201705,0.034,56
201706,0.036,34
201707,0.029,28
201708,0.018,22
201709,0.02,35
201710,0.015,31
201711,0.011,42
201712,0.011,57
201801,0.014,56
201802,0.013,50
201803,0.017,38
201804,0.023,46
201805,0.026,37
201806,0.025,30
201807,0.027,22
201808,0.032,17
201809,0.028,15
201810,0.02,24
201811,0.012,48
201812,0.012,40
201901,0.013,61
201902,0.018,55
201903,0.031,65
201904,0.036,33
201905,0.048,43
201906,0.04,22
201907,0.032,22
201908,0.031,22
201909,0.022,16
201910,0.021,37
201911,0.013,42
201912,0.01,44
202001,0.013,40
202002,0.018,39
202003,0.027,39
202004,0.036,39
202005,0.034,31
202006,0.045,34
202007,0.032,20
202008,0.021,24
202009,0.029,19
202010,0.03,19
